id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
10892340,Lagos,Ojo,Ira,Yes,farmland,0.4599447096138117,2024-03-29,"POLYGON ((3.2379023 6.4809353, 3.2337731 6.466376, 3.2249701 6.4653473, 3.2411009 6.4851372, 3.2251773 6.4890379, 3.2211345 6.4753628, 3.2158935 6.4751496, 3.2140535 6.4690838, 3.2388532 6.4584871, 3.2379023 6.4809353))"
113524900,Lagos,Ojo,Ira,Yes,farmland,0.44747524668629607,2024-03-29,"POLYGON ((3.2370934 6.5003804, 3.1997539 6.5395444, 3.1653787 6.511958, 3.1149393 6.5349765, 3.0893288 6.5671491, 3.0972038 6.5469189, 3.0792652 6.5522483, 3.129047 6.5158581, 3.0908845 6.5146962, 3.1016348 6.5003961, 3.1728796 6.5065785, 3.1897239 6.5198714, 3.2242172 6.4983094, 3.2187186 6.4806191, 3.2541323 6.477052, 3.2559691 6.4943893, 3.2370934 6.5003804))"
784089124,Lagos,Ojo,Ira,Yes,farmland,0.5082119055395209,2024-03-29,"POLYGON ((3.2155287 6.4990763, 3.2272158 6.4916923, 3.2218729 6.5005081, 3.2180534 6.5011264, 3.2155287 6.4990763))"
10892339,Lagos,Ojo,Igbo-Elerin,Yes,farmland,0.42732023174345724,2024-03-29,"POLYGON ((3.2099283 6.495889, 3.1993228 6.4841842, 3.2045048 6.469926, 3.207863 6.4637535, 3.2155824 6.4755067, 3.2047972 6.470992, 3.2013396 6.4814922, 3.2175136 6.4760291, 3.2231603 6.4889526, 3.2099283 6.495889))"
113524900,Lagos,Ojo,Igbo-Elerin,Yes,farmland,0.44747524668629607,2024-03-29,"POLYGON ((3.2370934 6.5003804, 3.1997539 6.5395444, 3.1653787 6.511958, 3.1149393 6.5349765, 3.0893288 6.5671491, 3.0972038 6.5469189, 3.0792652 6.5522483, 3.129047 6.5158581, 3.0908845 6.5146962, 3.1016348 6.5003961, 3.1728796 6.5065785, 3.1897239 6.5198714, 3.2242172 6.4983094, 3.2187186 6.4806191, 3.2541323 6.477052, 3.2559691 6.4943893, 3.2370934 6.5003804))"
784089126,Lagos,Ojo,Igbo-Elerin,Yes,farmland,0.3377755885852234,2024-03-29,"POLYGON ((3.2086103 6.4875651, 3.2021177 6.4879846, 3.2018428 6.4955099, 3.1993765 6.4848452, 3.2086103 6.4875651))"
10892339,Lagos,Ojo,Iba,Yes,farmland,0.42732023174345724,2024-03-29,"POLYGON ((3.2099283 6.495889, 3.1993228 6.4841842, 3.2045048 6.469926, 3.207863 6.4637535, 3.2155824 6.4755067, 3.2047972 6.470992, 3.2013396 6.4814922, 3.2175136 6.4760291, 3.2231603 6.4889526, 3.2099283 6.495889))"
113524900,Lagos,Ojo,Iba,Yes,farmland,0.44747524668629607,2024-03-29,"POLYGON ((3.2370934 6.5003804, 3.1997539 6.5395444, 3.1653787 6.511958, 3.1149393 6.5349765, 3.0893288 6.5671491, 3.0972038 6.5469189, 3.0792652 6.5522483, 3.129047 6.5158581, 3.0908845 6.5146962, 3.1016348 6.5003961, 3.1728796 6.5065785, 3.1897239 6.5198714, 3.2242172 6.4983094, 3.2187186 6.4806191, 3.2541323 6.477052, 3.2559691 6.4943893, 3.2370934 6.5003804))"
784089124,Lagos,Ojo,Iba,Yes,farmland,0.5082119055395209,2024-03-29,"POLYGON ((3.2155287 6.4990763, 3.2272158 6.4916923, 3.2218729 6.5005081, 3.2180534 6.5011264, 3.2155287 6.4990763))"
784089126,Lagos,Ojo,Iba,Yes,farmland,0.3377755885852234,2024-03-29,"POLYGON ((3.2086103 6.4875651, 3.2021177 6.4879846, 3.2018428 6.4955099, 3.1993765 6.4848452, 3.2086103 6.4875651))"
