[2024-04-05T15:06:00.277+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:03:07.267189+00:00 [queued]>
[2024-04-05T15:06:00.300+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:03:07.267189+00:00 [queued]>
[2024-04-05T15:06:00.302+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-04-05T15:06:00.339+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): load_data_tobigquery> on 2024-04-05 15:03:07.267189+00:00
[2024-04-05T15:06:00.351+0000] {standard_task_runner.py:60} INFO - Started process 5233 to run task
[2024-04-05T15:06:00.359+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'extract_osm_farmland', 'load_data_tobigquery', 'manual__2024-04-05T15:03:07.267189+00:00', '--job-id', '225', '--raw', '--subdir', 'DAGS_FOLDER/extract_file_data_from_osm.py', '--cfg-path', '/tmp/tmp3q47sd37']
[2024-04-05T15:06:00.362+0000] {standard_task_runner.py:88} INFO - Job 225: Subtask load_data_tobigquery
[2024-04-05T15:07:24.815+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:25.484+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:26.139+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:26.895+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'wardname', 'debugInfo': '', 'message': 'no such field: wardname.'}]}]
[2024-04-05T15:07:27.452+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:27.990+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'statename', 'debugInfo': '', 'message': 'no such field: statename.'}]}]
[2024-04-05T15:07:28.495+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'lganame', 'debugInfo': '', 'message': 'no such field: lganame.'}]}]
[2024-04-05T15:07:29.008+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'lganame', 'debugInfo': '', 'message': 'no such field: lganame.'}]}]
[2024-04-05T15:07:29.540+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:30.036+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:30.493+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'statename', 'debugInfo': '', 'message': 'no such field: statename.'}]}]
[2024-04-05T15:07:30.992+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:31.465+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:31.972+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:32.465+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:32.953+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:33.483+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'wardname', 'debugInfo': '', 'message': 'no such field: wardname.'}]}]
[2024-04-05T15:07:33.970+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:34.581+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:35.146+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:35.687+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:36.177+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:36.651+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:37.133+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'statename', 'debugInfo': '', 'message': 'no such field: statename.'}]}]
