[2024-04-05T15:05:53.331+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:02:42.616113+00:00 [queued]>
[2024-04-05T15:05:53.356+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:02:42.616113+00:00 [queued]>
[2024-04-05T15:05:53.358+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-04-05T15:05:53.395+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): load_data_tobigquery> on 2024-04-05 15:02:42.616113+00:00
[2024-04-05T15:05:53.410+0000] {standard_task_runner.py:60} INFO - Started process 5230 to run task
[2024-04-05T15:05:53.419+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'extract_osm_farmland', 'load_data_tobigquery', 'manual__2024-04-05T15:02:42.616113+00:00', '--job-id', '224', '--raw', '--subdir', 'DAGS_FOLDER/extract_file_data_from_osm.py', '--cfg-path', '/tmp/tmp8ylxvels']
[2024-04-05T15:05:53.423+0000] {standard_task_runner.py:88} INFO - Job 224: Subtask load_data_tobigquery
[2024-04-05T15:07:30.421+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'lganame', 'debugInfo': '', 'message': 'no such field: lganame.'}]}]
[2024-04-05T15:07:30.900+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:31.374+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:31.849+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:32.329+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:32.839+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:33.379+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'lganame', 'debugInfo': '', 'message': 'no such field: lganame.'}]}]
[2024-04-05T15:07:33.965+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'wardname', 'debugInfo': '', 'message': 'no such field: wardname.'}]}]
[2024-04-05T15:07:34.574+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
[2024-04-05T15:07:35.143+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'urban', 'debugInfo': '', 'message': 'no such field: urban.'}]}]
